sample;version;construct;construct_old;cub;cub2;cub3;splicing;replicate;fraction_full_length;fraction_spliced;relative_mrna_levels;relative_fl_mrna_levels;relative_spliced_mrna_levels;relative_mrna_levels_nm;relative_fl_mrna_levels_nm;relative_spliced_mrna_levels_nm;median_GFP.A;GFP.A;GFP.A_nm;log10_GFP.A;positivity_threshold;negative_cell_fraction;positive_cell_fraction;i1;i2;i3;gaussian_mean1;gaussian_mean2;intensity_shble_raw;intensity_gfp_raw;intensity_neo_raw;intensity_sample;intensity shble norm;intensity_gfp_norm;intensity_neo_norm;intnorm_shble_mrna_fl;intnorm_gfp_mrna;iBAQ_all;ibaq_100hits;ibaqraw_shble;ibaqnorm_shble;ibaqnorm_shble_nm;ibaqraw_gfp;ibaqnorm_gfp;ibaqnorm_gfp_nm;ibaqnorm_gfp_tot;ibaqnorm_gfp_tot_nm;ibaqnorm_gfp_tot_mrna_fl;ibaqnorm_gfp_tot_mrna_fl_nm;ibaq_neo;ibaqnorm_neo;ibaqnorm_neo_nm;ibaqnorm_gfp_neo;ibaqnorm_shble_neo;fluo_mrna_nm;fluo_mrna;fluo_mrna_sh1;ibaqnorm_shble_mrna;ibaqnorm_shble_mrna_fl;ibaqnorm_shble_mrna_fl_sh1;ibaqnorm_nm_shble_mrna_fl_nm;ibaqnorm_gfp_mrna;ibaqnorm_gfp_mrna_sh1;ibaqnorm_nm_gfp_mrna_nm;ibaqnorm_shble_gfp;ibaqraw_shble_gfp;ibaqraw_shble_mrna_fl;ibaqraw_gfp_mrna;slope_shble_gfp_normibaq;COUSIN_18;CAI_18;CAI_59;GC3(%);COUSIN_59;folding;freq_CpG;freq_TpA;Axis1;Axis2;Axis3;Axis4;Axis5
sh10s_r5;sh10;sh10sp;sh10;no;NA;NA;yes;r5;0.11;0.89;0.236241337;0.025986547;0.21025479;1.071773463;0.117895081;0.953878382;10395;919025652;1.9;8.963327634;18253.03;0.77;0.23;0.21;0.02;0;3.98067918681811;4.62032824106036;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.772762683;3890198314;1.48874889247273;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.723;0.783;0.764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh10s_r6;sh10;sh10sp;sh10;no;NA;NA;yes;r6;0.1;0.9;0.491126532;0.049112653;0.442013878;0.792784137;0.079278414;0.713505723;12658.5;3438761323;1.89;9.536402033;18253.03;0.6;0.4;0.29;0.1;0.01;3.92996321139359;4.87370591777123;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.384003302;7001782845;4.00602612725451;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.723;0.783;0.764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh10s_r7;sh10;sh10sp;sh10;no;NA;NA;yes;r7;0.08;0.92;1.856390217;0.148511217;1.707879;0.604997045;0.048399764;0.556597281;19204.5;4124513166;1.83;9.615372694;18253.03;0.49;0.51;0.35;0.16;0.01;4.04076687939089;5.02686670822102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.024808162;2221792125;2.94517747092774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.723;0.783;0.764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh10s_r8;sh10;sh10sp;sh10;no;NA;NA;yes;r8;0.06;0.94;1.24616923;0.074770154;1.171399076;0.71449707;0.042869824;0.671627246;21116;2794123151;1.42;9.446245544;18253.03;0.45;0.55;0.44;0.11;0;4.11993754908976;4.89012541804105;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.987411929;2242169910;1.78810646389041;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.723;0.783;0.764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh10mut_r1;sh10;sh10;sh10mut;yes;high;match;yes;r1;0.81;0.19;7.477209729;6.056539881;1.420669849;1.270150983;1.028822296;0.241328687;8730.5;1630878085;1;9.212421497;18253.03;0.65;0.35;0.27;0.08;0;3.71784873520536;4.590309069069;65565966223;324340075.3;1689199109;2,95E+12;0.022200385;0.00010982;0.000571956;0.021578445;0.0000864624;2950000000000;1330000000000;65565966223;0.001518028;0.731364403;324340075.3;0.00000363;1.068516905;0.00238555575562971;0.593659648695013;0.00193317638523243;1.50675012301107;1689199109;0.000571956;1.566693693;0.006345611;2.654099266;0.787307976;218113192.5;0.898397996360339;0.000203021;0.000250643;0.396521774897802;0.71;0.000000485475;2.69708333333333;0.84;418.1895317;202.1519116;63729145916;255355528.3;0.0017;0.702;0.766;0.762;65.942;1.025;-1196.2;0.086957;0.031400966;-0.480914765;-0.018614976;-0.022894205;0.000854984;0.022540255
sh10mut_r2;sh10;sh10;sh10mut;yes;high;match;yes;r2;0.74;0.26;4.781621716;3.53840007;1.243221646;1.385109468;1.024981006;0.360128462;9643;1585534788;1.15;9.200175775;18253.03;0.69;0.31;0.24;0.08;0;3.8530213819593;4.5753265471284;50650999029;192100027.7;878729593.2;2,47E+12;0.020470233;0.0000776358;0.000355132;0.019971329;0.0000560503;2470000000000;1180000000000;50650999029;0.001579107;1.138264131;192100027.7;0.00000152;0.734489473;0.000961643702151108;0.392197602199889;0.000711794307677409;1.29181014382854;878729593.2;0.000355132;1.647447406;0.004290968;4.446535373;0.830259287;331589339.8;1.26070369250133;0.000330245;0.000446277;0.85701364417602;1.1;0.000000318;0.669473684210526;0.53;1038.886184;263.6699205;49416524533;138689419.2;0.0017;0.702;0.766;0.762;65.942;1.025;-1196.2;0.086957;0.031400966;-0.480914765;-0.018614976;-0.022894205;0.000854984;0.022540255
sh10mut_r3;sh10;sh10;sh10mut;yes;high;match;yes;r3;0.8;0.2;0.32873569;0.262988552;0.065747138;0.498270131;0.398616105;0.099654026;5626;469530778;0.709;8.671664066;18253.03;0.89;0.11;0.09;0.01;0;3.71631263534727;4.23330689962783;14023010238;28053997.69;367869891.3;4,09E+12;0.003431417;0.00000686;0.0000900174;0.008608326;0.0000137772;4090000000000;1860000000000;14023010238;0.000269756;0.475714835;28053997.69;0.000000343;0.634757888;0.00126990473863287;0.571610517622773;0.00101618188174368;0.459210478376611;367869891.3;0.00009;0.979574381;0.00381494;2.996709525;1.422922941;1428292675;1.85430922074319;0.000820586;0.001025733;1.0281831604714;1.2;0.00000104;1.26829268292683;1.3;786.4606414;499.8578239;35179236519;56302788.28;0.0017;0.702;0.766;0.762;65.942;1.025;-1196.2;0.086957;0.031400966;-0.480914765;-0.018614976;-0.022894205;0.000854984;0.022540255
sh10mut_r4;sh10;sh10;sh10mut;yes;high;match;yes;r4;1;0;0.066523136;0.066523136;0;0.377618146;0.377618146;0;5079;245904437;0.805;8.390766365;18253.03;0.97;0.03;0.03;0;0;3.69562036888747;4.01456404712932;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.131783148;3696525003;2.07823889301254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.702;0.766;0.762;65.942;1.025;-1196.2;0.086957;0.031400966;-0.480914765;-0.018614976;-0.022894205;0.000854984;0.022540255
sh11s_r1;sh11;sh11;sh11;yes;low;match;no;r1;1;0;7.222508517;7.222508517;0;1.226884977;1.226884977;0;9070;1462873340;0.897;9.165206725;18253.03;0.68;0.32;0.25;0.07;0;3.80218372629373;4.61411163659862;65947959854;253729907;1065000427;2,32E+12;0.028420634;0.000109346;0.000458968;0.023164872;0.0000891251;2320000000000;1040000000000;65947959854;0.002075611;1;253729907;0.00000363;1.067480599;0.00174582936754325;0.516319524118543;0.00174582936754325;1.3615231302784;1065000427;0.000458968;1.25719858;0.007900093;4.522343606;0.731119882;202543664.2;0.834267840505619;0.000287381;0.000287381;0.454641957652538;0.81;0.000000503;2.79444444444444;0.87;571.7936639;259.9140189;53752357467;206808227.1;0.0018;1.116;0.836;0.783;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
sh11s_r2;sh11;sh11;sh11;yes;low;match;no;r2;1;0;4.13389;4.13389;0;1.197478705;1.197478705;0;9329;1341497742;0.969;9.127589946;18253.03;0.71;0.29;0.23;0.06;0;3.85056971968359;4.48508027469738;53005935785;150890049;422250090.5;1,86E+12;0.028541437;0.0000812479;0.000227364;0.023834609;0.0000678491;1860000000000;871000000000;53005935785;0.002103053;1.515938943;150890049;0.00000227;1.094499499;0.00107821935161493;0.419278034444453;0.00107821935161493;1.0513923820059;422250090.5;0.000227364;1.054735231;0.009987421;9.249718513;0.809200194;324512200.9;1.23379638857848;0.000508735;0.000508735;0.976955649226574;1.3;0.000000549;1.15578947368421;0.91;926.4550661;351.2884788;44264616618;126006457;0.0018;1.116;0.836;0.783;55.797;0.369;-1125.3;0.070048;0.036231884;0.446128641;0.129954786;-0.250360782;-0.25055869;0.09234629
